name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,zone_id
E18,0,4921397.0,,parking,,,"POLYGON ((-122.3016991 47.6567246, -122.3018312 47.656279, -122.3017304 47.6562051, -122.3017915 47.6558949, -122.3017687 47.6558188, -122.3011341 47.6557294, -122.3011161 47.6557791, -122.3010091 47.6559188, -122.3008588 47.6558983, -122.300777 47.6558872, -122.3008368 47.6556905, -122.2999315 47.6555722, -122.2999408 47.6555343, -122.2998304 47.6555197, -122.2996332 47.6556715, -122.2997003 47.6557419, -122.2997137 47.6558025, -122.2996922 47.6558648, -122.2996319 47.6558928, -122.2995367 47.6558946, -122.2994926 47.6558928, -122.2994468 47.655891, -122.2994267 47.6559949, -122.2993829 47.6563463, -122.2993954 47.6564242, -122.2993607 47.6564481, -122.2993614 47.6564545, -122.2993621 47.6564611, -122.2994065 47.6564805, -122.2994227 47.656552, -122.2994984 47.6567349, -122.2995145 47.6568138, -122.299512 47.6568921, -122.2995022 47.6569371, -122.2994866 47.6569807, -122.2994309 47.6570742, -122.2993507 47.6571565, -122.2992257 47.6572386, -122.2991442 47.6573013, -122.2990731 47.657375, -122.2990491 47.6574259, -122.2989711 47.6575913, -122.3013476 47.6579097, -122.3014443 47.6575837, -122.3016991 47.6567246))",POINT (-122.3005083 47.6567393),39364.8,423718.6,14
Kane Hall,1,26447597.0,,university,,,"POLYGON ((-122.3091035 47.6562191, -122.3093991 47.6563244, -122.3096684 47.6564203, -122.3095799 47.6565334, -122.3095217 47.6565128, -122.3095153 47.656521, -122.3095734 47.6565417, -122.3096399 47.6565654, -122.309639 47.6566689, -122.3096387 47.6567004, -122.3095647 47.6566997, -122.3095666 47.6569257, -122.3095144 47.6569256, -122.3094272 47.6569254, -122.309361 47.6569417, -122.3090781 47.6568891, -122.3090162 47.6568478, -122.3089557 47.6568459, -122.3087614 47.6567169, -122.3087681 47.656676, -122.3087091 47.6566359, -122.3087114 47.656532, -122.3088258 47.6564539, -122.3087787 47.6564209, -122.3088309 47.6563859, -122.3088726 47.656358, -122.3089004 47.6562478, -122.3089848 47.656258, -122.3089712 47.6563306, -122.3090677 47.656365, -122.3090776 47.6563524, -122.3090165 47.6563306, -122.3091035 47.6562191))",POINT (-122.3091989 47.6565932),4005.4,43113.6,14
Odegaard Undergraduate Library,2,26447602.0,,library,,,"POLYGON ((-122.310623 47.6567736, -122.3102136 47.6567656, -122.3102172 47.6566801, -122.3099072 47.656674, -122.3099143 47.6565086, -122.3100235 47.6565107, -122.3100273 47.656423, -122.310032 47.6563121, -122.3100618 47.6563127, -122.3100662 47.6562084, -122.3102282 47.6562087, -122.3102294 47.6561826, -122.3103236 47.6561834, -122.3104036 47.656184, -122.3105517 47.6561851, -122.3106369 47.6561906, -122.3106359 47.6562123, -122.3108033 47.6562155, -122.3108021 47.6562437, -122.3107985 47.6563282, -122.3108378 47.656329, -122.3108269 47.6565823, -122.3107915 47.6565816, -122.3107857 47.6567178, -122.3106256 47.6567147, -122.310623 47.6567736))",POINT (-122.3104086 47.6564738),3656.1,39353.6,13
Meany Hall,3,26447608.0,,university,,,"POLYGON ((-122.3101062 47.6551692, -122.3108731 47.6551736, -122.3108704 47.6553917, -122.3108685 47.6555386, -122.3108684 47.6555474, -122.3110751 47.6555486, -122.3110722 47.6557809, -122.3109906 47.6557804, -122.3109893 47.6558834, -122.3107934 47.6558823, -122.3107932 47.6558948, -122.3108168 47.6558949, -122.3108158 47.6559651, -122.3107327 47.6559652, -122.3106739 47.6559648, -122.3106174 47.6559643, -122.3105647 47.655964, -122.3103272 47.6559622, -122.3102805 47.6559618, -122.3102813 47.6559096, -122.3102984 47.6559097, -122.3102985 47.6558988, -122.3102467 47.6558984, -122.310248 47.6557997, -122.3102513 47.6555464, -122.3103541 47.6555471, -122.310355 47.6554722, -122.3103407 47.6554721, -122.3100835 47.6554706, -122.3100849 47.6553626, -122.3101167 47.6553628, -122.310117 47.6553404, -122.310104 47.6553403, -122.3101062 47.6551692))",POINT (-122.3105733 47.6555587),4857.3,52284.0,13
Gerberding Hall,4,26447610.0,,university,,,"POLYGON ((-122.3098095 47.6555014, -122.3092021 47.6554283, -122.3091993 47.6554391, -122.309113 47.6554287, -122.3091193 47.655405, -122.3091257 47.6553806, -122.3090288 47.6552438, -122.3092029 47.6551864, -122.3094343 47.6551102, -122.3095084 47.6552153, -122.309577 47.6553125, -122.309603 47.6553156, -122.3096298 47.6553188, -122.3096231 47.6553445, -122.3098478 47.6553714, -122.3098443 47.6553849, -122.3099307 47.6553952, -122.3099027 47.655502, -122.3098121 47.6554912, -122.3098095 47.6555014))",POINT (-122.3094381 47.6553365),1467.9,15800.2,14
Savery Hall,5,26447622.0,,university,,,"POLYGON ((-122.3077884 47.6574184, -122.3082141 47.6571359, -122.3083638 47.6570367, -122.3083949 47.6570579, -122.3084747 47.657005, -122.3084426 47.6569831, -122.3084618 47.6569703, -122.3084873 47.6569535, -122.3082623 47.6567996, -122.3083271 47.6567566, -122.3084264 47.6566907, -122.3087228 47.6568934, -122.3087704 47.6568618, -122.3088065 47.6568865, -122.308838 47.656908, -122.3087905 47.6569395, -122.3089134 47.6570235, -122.3087429 47.6571367, -122.3086691 47.6570861, -122.3086605 47.6570918, -122.3086345 47.6571091, -122.3086274 47.6571043, -122.3085466 47.6571579, -122.3085668 47.6571718, -122.3081681 47.6574362, -122.3081937 47.6574538, -122.3081687 47.6574704, -122.3081378 47.6574909, -122.3081179 47.6574773, -122.3079944 47.6575593, -122.3078941 47.6574907, -122.3077884 47.6574184))",POINT (-122.3083667 47.6571313),2489.3,26794.8,14
Raitt Hall,6,26447626.0,,university,,,"POLYGON ((-122.3068549 47.6580315, -122.3070009 47.6579345, -122.3074441 47.6576399, -122.3075516 47.6577133, -122.3076546 47.6577836, -122.3075214 47.6578722, -122.3075458 47.6578888, -122.3074912 47.6579252, -122.3074635 47.6579063, -122.3073647 47.6579719, -122.3074188 47.6580089, -122.3072913 47.6580936, -122.3072517 47.6580666, -122.3071981 47.6581022, -122.3071783 47.6580887, -122.3070569 47.6581694, -122.3068549 47.6580315))",POINT (-122.3072615 47.6579127),1473.7,15862.3,14
Music Building,7,26447631.0,,university,,,"POLYGON ((-122.3058668 47.657779, -122.3054121 47.6574826, -122.3054397 47.657465, -122.3054164 47.6574475, -122.3055334 47.6573708, -122.3055584 47.657387, -122.3055843 47.6573701, -122.3057084 47.6574508, -122.3056999 47.657461, -122.3057321 47.6574831, -122.3057691 47.6574583, -122.3058076 47.6574857, -122.3057706 47.6575104, -122.3060067 47.6576746, -122.3060368 47.6576552, -122.3061621 47.6577448, -122.3060803 47.6577962, -122.3061197 47.6578259, -122.306062 47.6578625, -122.3060405 47.6578761, -122.3060674 47.6578983, -122.3060669 47.6579119, -122.3060429 47.6579294, -122.3060226 47.6579255, -122.3059616 47.6578813, -122.3058153 47.657975, -122.30569 47.657886, -122.3058668 47.657779))",POINT (-122.3057991 47.6576687),1389.1,14952.6,14
Art Building,8,26447635.0,,university,,,"POLYGON ((-122.3063911 47.658807, -122.306169 47.6586562, -122.3057763 47.6583897, -122.3059358 47.6582831, -122.3060284 47.658346, -122.3062745 47.658513, -122.3065284 47.6583433, -122.3065494 47.6583575, -122.3065716 47.6583427, -122.3063726 47.6582077, -122.3063039 47.6582536, -122.3061814 47.6581705, -122.3062833 47.6581023, -122.3061981 47.6580445, -122.3062376 47.658018, -122.3062774 47.6580449, -122.3062999 47.6580298, -122.3063553 47.6579926, -122.3063764 47.6579916, -122.3064008 47.6580082, -122.3064221 47.6580086, -122.3064707 47.6579761, -122.3065857 47.6580542, -122.3065615 47.6580704, -122.3070064 47.6583725, -122.3068749 47.6584604, -122.3068282 47.6584287, -122.30678 47.6584609, -122.3068003 47.6584747, -122.3065147 47.6586656, -122.3065583 47.6586952, -122.3063911 47.658807))",POINT (-122.3064265 47.6583943),3238.7,34861.3,14
Electrical Engineering Building,9,30859396.0,,university,,,"POLYGON ((-122.306129 47.6534408, -122.3063295 47.6534993, -122.3063707 47.6534977, -122.3063889 47.653497, -122.3067563 47.6533771, -122.3068529 47.6534249, -122.3068256 47.6534332, -122.3068891 47.6534647, -122.3069164 47.6534564, -122.3069846 47.6534901, -122.3070074 47.6534902, -122.3070457 47.6535102, -122.307045 47.65352, -122.3071106 47.6535525, -122.3070929 47.653558, -122.3070943 47.6535601, -122.3064424 47.6537625, -122.3064213 47.6537427, -122.3063691 47.6537433, -122.3063242 47.6537423, -122.3063171 47.6537553, -122.3063082 47.6537715, -122.3057612 47.6536288, -122.3055612 47.6535902, -122.3055717 47.6535729, -122.3056649 47.6534196, -122.3056803 47.6533942, -122.3060826 47.6534932, -122.306129 47.6534408))",POINT (-122.3063212 47.6535702),2808.1,30225.9,19
