o_zone_id,d_zone_id,accessibility,volume,geometry
0,0,0.0,6.999963581539078,"LINESTRING (-76.95614896113524 38.979556977077486,-76.95614896113524 38.979556977077486)"
0,1,0.5582769421562637,5.178454564249683,"LINESTRING (-76.95614896113524 38.979556977077486,-76.9503705959991 38.979262715910416)"
0,2,1.2633016422890635,11.774614469677577,"LINESTRING (-76.95614896113524 38.979556977077486,-76.94306724620641 38.98008989839545)"
0,3,1.8005230506326615,29.295642426381868,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93748964696455 38.97973917233188)"
0,4,2.3131360911274994,5.434955596678015,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93217898394533 38.97918868236121)"
0,5,0.5008517379954796,13.620272068647754,"LINESTRING (-76.95614896113524 38.979556977077486,-76.95654038918376 38.98473290872155)"
0,6,0.8682909239969809,22.32429338095149,"LINESTRING (-76.95614896113524 38.979556977077486,-76.94918515736619 38.98525638276749)"
0,7,1.2945436589723902,16.730620043404876,"LINESTRING (-76.95614896113524 38.979556977077486,-76.94391753002535 38.985069739862865)"
0,8,1.8502896032541662,18.500374882249154,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93782936830148 38.98522358509069)"
0,9,2.289944062169767,10.730525459585808,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93281099835939 38.98386611360585)"
0,10,1.1246178920479766,4.977405429863816,"LINESTRING (-76.95614896113524 38.979556977077486,-76.95679046211451 38.9911945889552)"
0,11,1.3247872964411433,18.27888100232692,"LINESTRING (-76.95614896113524 38.979556977077486,-76.94939878151207 38.991512819518306)"
0,12,1.639945057469208,78.99235174815364,"LINESTRING (-76.95614896113524 38.979556977077486,-76.94348046644811 38.99088718523098)"
0,13,2.03533323545545,11.86694515667033,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93804582130882 38.99038386195248)"
0,14,2.566290711987904,10.234239502558099,"LINESTRING (-76.95614896113524 38.979556977077486,-76.93229361007478 38.99131678004122)"
