name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,9889718,0,1,1,1932.53,2,,,motorway,1,"LINESTRING (-96.7859412 43.4926499, -96.7880329 43.4922495, -96.7884422 43.4921573, -96.7890378 43.4920233, -96.7898435 43.4918389, -96.7908807 43.4915817, -96.7929360 43.4910266, -96.7939069 43.4907716, -96.7941990 43.4906910, -96.7944210 43.4906271, -96.7945976 43.4905754, -96.7947788 43.4905123, -96.7949668 43.4904465, -96.7951492 43.4903766, -96.7953488 43.4902908, -96.7955379 43.4902108, -96.7957127 43.4901237, -96.7959095 43.4900170, -96.7961227 43.4898984, -96.7963148 43.4897835, -96.7965165 43.4896547, -96.7967294 43.4895124, -96.7969169 43.4893727, -96.7971220 43.4892056, -96.7972568 43.4890829, -96.7973988 43.4889521, -96.7975389 43.4888136, -96.7976969 43.4886450, -96.7978464 43.4884662, -96.7979977 43.4882727, -96.7981466 43.4880604, -96.7982562 43.4878747, -96.7983593 43.4876916, -96.7984562 43.4874974, -96.7985477 43.4872974, -96.7986153 43.4871160, -96.7986824 43.4869058, -96.7987449 43.4866686, -96.7987875 43.4864553, -96.7988161 43.4862148, -96.7988334 43.4860145, -96.7988403 43.4857445, -96.7988296 43.4855045, -96.7988009 43.4852514, -96.7987532 43.4850060, -96.7987019 43.4847896, -96.7986398 43.4845986, -96.7985550 43.4843610, -96.7978720 43.4827600, -96.7974534 43.4817900, -96.7972108 43.4812239)",auto,0,1,,
,1,9890172,2,3,1,494.89,2,,,motorway,1,"LINESTRING (-96.7625970 43.4983598, -96.7635698 43.4980320, -96.7644598 43.4977456, -96.7650898 43.4975563, -96.7656249 43.4974224, -96.7660916 43.4973310, -96.7666914 43.4972401, -96.7675151 43.4971531, -96.7684085 43.4970702)",auto,0,1,,
West Ralph Rogers Road,2,9890922,4,5,1,807.44,1,,,tertiary,5,"LINESTRING (-96.7474974 43.4941430, -96.7476590 43.4941438, -96.7484688 43.4941468, -96.7496151 43.4941730, -96.7508931 43.4941912, -96.7521547 43.4941878, -96.7535588 43.4942062, -96.7540305 43.4942104, -96.7560743 43.4942372, -96.7567380 43.4942417, -96.7569987 43.4942730, -96.7573116 43.4943024, -96.7574763 43.4943072)",auto,1,0,,
West Ralph Rogers Road,3,9890922,5,4,1,807.57,1,,,tertiary,5,"LINESTRING (-96.7574783 43.4942712, -96.7573158 43.4942664, -96.7570059 43.4942374, -96.7567422 43.4942057, -96.7560749 43.4942012, -96.7540313 43.4941744, -96.7535596 43.4941702, -96.7521551 43.4941518, -96.7508935 43.4941552, -96.7496163 43.4941370, -96.7484698 43.4941108, -96.7476592 43.4941078, -96.7474978 43.4941070)",auto,1,0,,
West 82nd Street,4,9891087,6,7,1,478.09,,,,tertiary,5,"LINESTRING (-96.7772054 43.4785274, -96.7759205 43.4785260, -96.7758572 43.4785259, -96.7753359 43.4785241, -96.7741979 43.4785157, -96.7735342 43.4785152, -96.7730772 43.4785148, -96.7728529 43.4784851, -96.7724624 43.4783618, -96.7714160 43.4780517)",auto,1,0,,
West 82nd Street,5,9891087,7,6,1,479.63,,,,tertiary,5,"LINESTRING (-96.7713974 43.4780851, -96.7724432 43.4783950, -96.7728385 43.4785197, -96.7730728 43.4785508, -96.7735342 43.4785512, -96.7741977 43.4785517, -96.7753355 43.4785601, -96.7758570 43.4785619, -96.7759205 43.4785620, -96.7772054 43.4785634)",auto,1,0,,
,6,9891115,8,9,1,610.44,,,,motorway,1,"LINESTRING (-96.7775785 43.4936768, -96.7768704 43.4937453, -96.7763936 43.4937845, -96.7759840 43.4938166, -96.7757106 43.4938365, -96.7754039 43.4938513, -96.7751476 43.4938575, -96.7749077 43.4938590, -96.7746460 43.4938531, -96.7744139 43.4938411, -96.7741993 43.4938239, -96.7739911 43.4938027, -96.7737874 43.4937792, -96.7735674 43.4937497, -96.7733166 43.4937113, -96.7731114 43.4936731, -96.7728822 43.4936233, -96.7726318 43.4935627, -96.7723779 43.4934955, -96.7721013 43.4934111, -96.7717857 43.4933055, -96.7713002 43.4931447, -96.7710194 43.4930559, -96.7708668 43.4930109, -96.7706533 43.4929553, -96.7704648 43.4929212, -96.7702666 43.4928965)",auto,0,1,,
,7,9891614,0,10,1,727.35,1,,,motorway,1,"LINESTRING (-96.7859412 43.4926499, -96.7877286 43.4923595, -96.7880090 43.4923195, -96.7882522 43.4923060, -96.7884438 43.4922980, -96.7886503 43.4923020, -96.7888428 43.4923237, -96.7890325 43.4923468, -96.7893205 43.4924041, -96.7895261 43.4924572, -96.7897469 43.4925320, -96.7899549 43.4926146, -96.7901342 43.4927065, -96.7903379 43.4928217, -96.7905053 43.4929437, -96.7906641 43.4930793, -96.7908081 43.4932170, -96.7909126 43.4933391, -96.7909911 43.4934523, -96.7910730 43.4935838, -96.7911340 43.4936920, -96.7911990 43.4938431, -96.7912423 43.4939752, -96.7912736 43.4940982, -96.7912912 43.4942305, -96.7913001 43.4943772, -96.7912892 43.4945412, -96.7912731 43.4946539, -96.7912304 43.4948401, -96.7911704 43.4950119, -96.7907936 43.4957493)",auto,0,1,,
East 85th Street,8,9894100,11,12,1,163.39,1,,,tertiary,5,"LINESTRING (-96.7231127 43.4750089, -96.7225712 43.4750064, -96.7221403 43.4750182, -96.7210949 43.4750661)",auto,0,0,,
West 69th Street,9,9894121,13,14,1,283.11,2,64,,secondary,4,"LINESTRING (-96.7237340 43.4896403, -96.7257405 43.4896439, -96.7263740 43.4896448, -96.7272353 43.4896494)",auto,0,0,,
West 69th Street,10,9894121,14,15,1,13.17,2,64,,secondary,4,"LINESTRING (-96.7272353 43.4896494, -96.7273982 43.4896503)",auto,0,0,,
West 69th Street,11,9894121,15,16,1,16.07,2,64,,secondary,4,"LINESTRING (-96.7273982 43.4896503, -96.7275967 43.4896435)",auto,0,0,,
South Tallgrass Avenue,12,9894176,17,18,1,1607.64,,,,tertiary,5,"LINESTRING (-96.7871730 43.4609084, -96.7871721 43.4610428, -96.7871637 43.4623592, -96.7871625 43.4625525, -96.7871619 43.4626483, -96.7871615 43.4634971, -96.7871613 43.4640960, -96.7871605 43.4643603, -96.7871583 43.4650790, -96.7871587 43.4655791, -96.7871593 43.4662820, -96.7871593 43.4676560, -96.7871593 43.4682430, -96.7871593 43.4683200, -96.7871593 43.4688830, -96.7871415 43.4722929, -96.7871504 43.4742861, -96.7871411 43.4743508, -96.7871453 43.4748051, -96.7871443 43.4753838)",auto,1,0,,
